canonical_name,slug,used_in_n_workout_slots,aliases,exercise_url
Squat,squat,159,"Squats; Barbell Squat; Low Bar Slightly Wider than Shoulder Width Squats; Barbell Back Squat; 1. Squat; Squat - Power; Back Squat; 1. Squats*; 1. Barbell Squat; 1. Barbell Back Squat; Barbell Squat - 90 seconds between sets; 2. Squat; Heavy Deep Squat; Paused Squats; Squats (Ramped); Barbell squats; Squats (Drop set); A3. Barbell Squat; 2. Barbell Squats; Heels Elevated Barbell Squat (Rest 90 between sets); Pause Back Squat*; Speed Pause Squat*; 2. Back Squat; Squat (See below); Low Bar Slightly Wider than Shoulder Width Squat; Squats - Drop 5 Cycle; Superset: Box jump and barbell squat or leg press; Squat (triset #1); Parallel Squats - Week 1; Parallel Squats - Week 2; Speed Squats (50-60% of your Max); ATG (Ass to Grass) Squats - Week 1; 1a. Barbell Squat; 4. Barbell Squat; 4. Barbell Squat or Leg Press; 1. Back Squat; Back Squats or Front Squats; Back Squats (Ladder Set); * Squat (With 85% 1RM); * Squats (With 65% 1RM, SPLASH principle); * Squats (With 80% 1RM, SPLASH principle); High Rep Squats; 6. Squat; Squat (Straight Sets); Squat (Ramped Sets); Squat (Superset with Leg Curls); Barbell Squats; Squat - Warm Up Sets; 2a. Squat",https://www.muscleandstrength.com/exercises/squat.html
Barbell Bench Press,barbell-bench-press,135,"Bench Press; Flat Bench Press; 1. Bench Press; Bench Press (superset #1); Bench Press - Power; Bench Press - 135lbs; Bench Press or Military Press (Alternate); Flat Barbell Bench Press; 2A. Flat Bench Press; 1. Bench Press*; 5. Bench Press*; Bench Press / Military Press (Alternate); Paused Bench Press or Close Grip Bench Press; Bench Press/Dumbbell Fly superset; Bench Press (see instructions); 1a. Flat Barbell Bench Press; A1. Bench Press; Bench Press - 10 sets x 3 reps work; Bench Press - Drop 5 Cycle; A. Barbell Bench Press; 2. Bench; Bench Press (triset #2); Bench Press - Week 1; Bench Press - Week 2; 2. Flat Bench Barbell or Machine Press; Bench Press (Ramped); * Bench Press (With 85% 1RM, increase weight only after successful completion of 6x3); * Bench Press (With 76% 1RM, SPLASH principle); * Bench Press (With 65% 1RM, SPLASH principle); 3. Barbell Bench Press; B2: Flat Bench Barbell Press; 4. Bench Press*; 3b. Bench Press; Bench Press - Warm Up Sets",https://www.muscleandstrength.com/exercises/barbell-bench-press.html
Deadlift,deadlifts,128,"Conventional Deadlifts; Deadlifts; 1. Deadlift; 2. Deadlift; Paused Deadlift; Deadlift - Power; 3. Deadlift; Barbell or Dumbbell Deadlift; A1. Conventional Deadlift; 2. Deadlifts; Barbell deadlifts; Barbell Conventional Deadlift; Barbell Deadlift; 5. Rack Deadlift; Deadlift - Ramped; Deadlift (See below); Speed Deadlift*; Deadlifts - Drop 5 Cycle; E. Barbell Deadlift; 2. Heavy Deadlift; Conventional Deadlift; 4. Deadlifts with Chains; Speed Deadlifts; Heavy Conventional Stance Deadlifts - Week 1; Deficit Deadlifts; 1. Deadlifts; Deadlifts (Ramped); 1. Deadlifts*; * Deadlift (Weight should remain the same for all 3 sets, do not move up in weight until a full 3x10 is completed with given weight); * Deadlift (SPLASH principle); Deadlift - Warm Up Sets; Rack Deadlifts - 3"" to 5"" off ground; 1b. Deadlift",https://www.muscleandstrength.com/exercises/deadlifts.html
Leg Curl,leg-curl,108,Lying Leg Curl; Leg Curls; Lying Leg Curls; Leg Curl - Burn; Hamstring Curl; 5. Lying Leg Curl; Leg Curl (superset #1); 4. Leg Curls; 3. Leg Curls; A1. Leg Curl; B2. Leg Curl; Leg curl; Lying Leg Curl (Rest-Pause); 4. Hamstring Curl; Lying Leg Curl Machine; Leg Curl (Seated or Lying); 1b. Lying Leg Curls; Leg Curl (45-60 secs rest between sets); 5a. Sliding Leg Curl; 4a. Sliding Leg Curl; Lying Leg Curl*; Leg Curl (triset #2); 3. Leg Curl; 1b. Lying Leg Curl; 5. Lying or Seated Leg Curl; Leg Curl  - Muscle; Prone Hamstring Curls; 3b. Lying Leg Curl; 4a. Lying Leg Curl; 4. Leg Curl; Leg Curl - 3 sec negative; Seated Leg Curl - 3 sec negative; 2b. Leg Curl,https://www.muscleandstrength.com/exercises/leg-curl.html
Lateral Raise,dumbbell-lateral-raise,98,"Dumbbell Lateral Raise; Side Lateral Raise; Alternating Standing Lateral Raise; Dumbbell Lateral Raise - Burn; 3. Dumbbell Lateral Raise; Dumbbell Side Lateral Raise; Dumbbell or Machine Lateral Raise; A1. Lateral Raise; C1. Lateral Raise; Dumbbell Lat Raises; 5. Lateral Raises; 6. Side Lateral Raise; Lateral Raises; A1. Dumbbell Lateral Raise; 3a. Lateral Raise; Lateral Raise (Left, Right, Both); 2. Dumbbell Lateral Raise; 3. Side Lateral Raise; 4b. Lateral Raise; 2b. Lateral Raise; 3a. Dumbbell Side Raise; E. Dumbbell Lateral Raises; 4. Dumbbell Lateral Raise; Giant set: Dumbbell side lateral raise, dumbbell upright row and burpees; Lateral Raise (triset #1); Dumbbell Lateral Raises; 1a. Standing Dumbbell Lateral Raise; 5. Lateral Raise; Side Raise (Or shoulder exercise of your choice); Side Raise supersetted with Front Raise; 3b. Lateral Raise; 7. Lateral Raise; 4a. Lateral Raises; Standing Dumbbell Lateral Raise; 3. Lateral Raise; 3a. Dumbbell Side Lateral Raise",https://www.muscleandstrength.com/exercises/dumbbell-lateral-raise.html
Leg Press,45-degree-leg-press,88,4. Leg Press; B1. Leg Press; Leg Press - Burn; 45 Degree Leg Press; 2. Leg Press; Leg Press or Hack Squat; Leg Press  - Muscle; 1. Leg Press; 2a. Leg Press; Leg Press - Muscle; Leg press; Leg Press (Rest-Pause); 4a. Leg Press; Leg Press (70-90 secs rest between sets); Leg Press (triset #1); 3. Leg Press; 1b. Leg Press; 5. Leg Press,https://www.muscleandstrength.com/exercises/45-degree-leg-press.html
Seated Calf Raise,seated-calf-raise,86,Calf Raise; Seated calf Raise; Seated Calf Raises; Seated Calf Raise - Muscle; Seated Calf Raise (superset #2); 6. Seated Calf Raise; 5. Seated Calf Raise; Seated Calf Raise - 3 sec negative; C2. Seated Calf Raise; Seated calf raise; 7. Seated Calf Raise; Calf Raise (Seated or Standing); 5b. Seated Calf Raises; 6b. Seated Calf Raise; 1b. Seated Calf Raises; Seated Calf Raises (45-60 secs rest between sets); Seated Calf Raises (Rest 45-60 seconds between sets.  Hold for 3 seconds at the top of the move); 2b. Seated Calf Raise; Seated or Standing Calf Raise; 6. Calf Raises; Standing or Seated Calf Raise; 2. Calf Raises; 4. Seated Calf Raises; 4b. Seated Calf Raise; 5a. Seated Calf Raise; 6b. Seated Calf Raises; 8. Calf Raise; Calf Raise (any variation),https://www.muscleandstrength.com/exercises/seated-calf-raise.html
Plank,hover,83,Planks; 5. Plank; 3. Plank; 9. Plank; 8. Plank; 1c. Plank; 1. Plank; 4. Plank; 6. Plank Positions; Plank Holds; Plank (Hover); Hover (AKA plank); Advanced Hover (see instructions); 3a. Plank; Hover; 4b. Front Plank; 7c. Plank; 2e. Plank; 3c. Plank; 6. Plank; 6. Planks; Plank or 3-way Plank; 4. Plank (switch positions as needed); C2: Planks; 3-Way Plank*; Planks: Front and Sides; 5b. Plank,https://www.muscleandstrength.com/exercises/hover.html
Barbell Curl,standing-barbell-curl,80,Standing Barbell Curl; Standing Barbell Curls/ Rope Tricep Ext. (Superset); Barbell Curls; Standing Barbell Curl  - Muscle; Barbell Bicep Curl; Barbell Curl (superset #1); Straight Bar or Incline Curls; * Barbell Curl (SPLASH principle); Standing Barbell Curl (or Standing Dumbbell Curl); Standing Barbell Curl - Muscle; 7. Barbell Curl; 2. Strict Barbell Curl; Standing Barbell Curls; 4a. Barbell Curl; 1a. Barbell Curls; 5a. Barbell Biceps Curl; 5a. Barbell Curl; 6a. Barbell Curl; Standing Barbell Curls/ Rope Tricep Ext (Superset); Barbell Curls/ Triceps Extension (Superset); Barbell Curls/Triceps Extension (Superset); A. Barbell Curl; 5. Barbell Curl; Arnold Barbell Cheat Curls; Arnold Barbell Cheat Curl; 2. Barbell Curls; Barbell Calf Raises; Barbell Curls (5x5 or 4x6); Straight Bar Curls; 1. Barbell Curl; 4. Barbell Curls*; c. Barbell Curls; 9. Barbell Curl; 3. Barbell Curls*,https://www.muscleandstrength.com/exercises/standing-barbell-curl.html
Bent Over Row,bent-over-barbell-row,78,"Barbell Row; Overhand Bent Over Row; Bent-Over Barbell Row; Bent Over Barbell Row; 2. Bent Over Barbell Row; 3. Barbell Bent-Over Row; Barbell Bent Over Row; 9. Bent Over Row; Barbell Row (5x5) or Dumbbell Row (3x6-10); Barbell Rows or Military Press; Bent over barbell row; Bent over row; Barbell Rows - Muscle; 2. Barbell Rows; 3a. Bent Over Barbell Row; 1. Bent Over Row; 2a. Barbell Rows; 3b. Barbell Bent Over Row; 3. Barbell Row; Bent Over Row (10% lighter than Workout A); Bent Over Row - Week 1 (Any rep range can be used); Wide Grip Barbell Bent-Over Row; 4. Barbell or Two-Arm Dumbbell Row; Barbell Row (Ramped); Barbell Rows - Power; * Barbell Row (Weight should remain the same for all 5 sets, do not move up in weight until a full 5x5 is completed with given weight); Bent-Over Barbell or Dumbbell Row",https://www.muscleandstrength.com/exercises/bent-over-barbell-row.html
